source,peak_cooling_t,T_at_min_C,offset_hours_from_CPA,search_window
SBI obs (~0.5 m),2025-08-25 00:00:00,22.955676999847903,84.0,2025-08-18 to 2025-08-25
DOPPIO (~0.5 m),2025-08-24 14:00:00,22.89769376082054,74.0,2025-08-18 to 2025-08-25
